key,E1,E2,E3,G12,G23,G13,total_volume,total_area,relative_density,surface_area,average_face_area,num_faces,specific_stiffness_E1,specific_stiffness_E2,specific_stiffness_E3,anisotropy_index,avg_shear_modulus,shear_anisotropy
adjacency_matrix_10_1_2_3_4_5_12_14_15_18_19,0.222937118,0.279250641,0.287808627,0.157874618,0.159369325,0.165727891,3.7812480000000006,10.024579405784607,0.4726560000000001,945.312,1.0024579405784606,10,0.4716688627670017,0.5908115860160454,0.6089177477912053,1.2909856805451303,0.16099061133333334,1.049743733980088
adjacency_matrix_10_1_2_3_4_5_14_15_16_19_20,0.215874053,0.260164539,0.343719888,0.156746473,0.148162981,0.161232123,3.8074880000000006,10.70674216747284,0.4759360000000001,951.8720000000001,1.070674216747284,10,0.4535779033315403,0.5466376550628654,0.7221977072547567,1.5922241845341178,0.15538052566666669,1.0882078769729937
adjacency_matrix_10_1_2_3_4_5_15_17_18_19_20,0.189160016,0.249040292,0.271153885,0.113677094,0.126338013,0.132798366,3.4037760000000006,10.292528629302979,0.4254720000000001,850.9440000000001,1.029252862930298,10,0.44458863567990364,0.5853271002557159,0.6373013617817387,1.4334630052050747,0.12427115766666667,1.1682069036704967
adjacency_matrix_10_1_2_3_4_5_6_10_11_15_16,0.278518993,0.278060447,0.340519153,0.170129506,0.165254403,0.162704975,3.993280000000001,11.254930317401886,0.4991600000000001,998.32,1.1254930317401886,10,0.5579753846462054,0.5570567493388892,0.682184375751262,1.2246227634094253,0.166029628,1.045631862209499
adjacency_matrix_10_1_2_3_4_5_6_10_14_16_20,0.278941652,0.261089821,0.351234146,0.156556309,0.161509016,0.169438502,3.9774080000000005,11.254930317401886,0.49717600000000006,994.3520000000001,1.1254930317401886,10,0.5610521264099634,0.5251456647143063,0.7064583688673628,1.3452617365730242,0.16250127566666667,1.0822847260661976
adjacency_matrix_10_1_2_3_4_5_6_11_14_16_19,0.207630401,0.26406055,0.332915328,0.154737958,0.146499494,0.150930927,3.7886720000000005,10.70674216747284,0.47358400000000006,947.168,1.070674216747284,10,0.43842359750329396,0.557579120071624,0.702969965201527,1.6034035786503154,0.150722793,1.0562354433797567
adjacency_matrix_10_1_2_3_4_5_6_11_14_16_20,0.204152411,0.244873423,0.329131013,0.137528586,0.131310721,0.145369554,3.6113280000000008,10.840716779232025,0.4514160000000001,902.832,1.0840716779232025,10,0.45224894775550706,0.5424562332748506,0.7291079912984917,1.6121828362830355,0.13806962033333334,1.1070653857730324
adjacency_matrix_10_1_2_3_4_5_6_12_14_16_20,0.213321615,0.24387896,0.344133137,0.137702672,0.142553119,0.159483331,3.7673600000000005,10.70674216747284,0.47092000000000006,941.84,1.070674216747284,10,0.4529890745774228,0.5178776862312069,0.7307677248789602,1.613212692956595,0.14657970733333334,1.1581716511644742
adjacency_matrix_10_1_2_3_4_5_6_7_10_12_19,0.269440697,0.269006175,0.266339424,0.144831582,0.146575218,0.147155981,3.7416320000000005,10.70674216747284,0.46770400000000006,935.408,1.070674216747284,10,0.5760923511451687,0.5751632977267673,0.5694615055676239,1.0116440628782017,0.14618759366666664,1.0160489788753395
adjacency_matrix_10_1_2_3_4_5_6_7_8_12_19,0.275289375,0.271644551,0.269762368,0.151447357,0.152261025,0.151008285,3.793408000000001,10.70674216747284,0.4741760000000001,948.3520000000001,1.070674216747284,10,0.5805637041942231,0.5728770561985422,0.5689076798488323,1.0204884285416713,0.15157222233333334,1.0082958362185228
