key,E1,E2,E3,G12,G23,G13,num_faces,specific_stiffness_E1,specific_stiffness_E2,specific_stiffness_E3,normalized_E1,normalized_E2,normalized_E3,anisotropy_index,avg_shear_modulus,relative_density
adjacency_matrix_7_1_3_6_8_16_17_20,110.2639378,59.88380168,162.0245698,21.34267186,21.34267186,21.34267186,7,110.2639378,59.88380168,162.0245698,0.5514630751349804,0.2994968807038751,0.8103335441492847,0.4316563623468052,21.34267186,0.23682400000000003
adjacency_matrix_10_2_3_6_7_12_14_15_16_17_20,78.25576363,89.48802329,162.0139961,21.12636585,21.12636585,21.12636585,10,78.25576363,89.48802329,162.0139961,0.3913805811716255,0.4475564857910792,0.8102806618993498,0.3918662224451026,21.12636585,0.2548
adjacency_matrix_5_2_3_9_11_20,90.80151623,90.80151623,161.8271492,17.59158967,17.59158967,17.59158967,5,90.80151623,90.80151623,161.8271492,0.4541256585443173,0.4541256585443173,0.8093461844254876,0.3438062847102152,17.59158967,0.13255200000000003
adjacency_matrix_8_1_3_11_12_14_16_17_18,73.10603275,72.64268551,161.8264769,20.36719302,20.36719302,20.36719302,8,73.10603275,72.64268551,161.8264769,0.3656252301124837,0.3633078913803121,0.8093428220512352,0.4636413538893589,20.36719302,0.22096000000000005
adjacency_matrix_10_1_2_3_5_7_14_15_16_17_19,78.09904203,90.50064984,161.7126633,21.20288008,21.20288008,21.20288008,10,78.09904203,90.50064984,161.7126633,0.3905967693724057,0.4526209353506371,0.8087736060491547,0.3886359052747351,21.20288008,0.25372800000000006
adjacency_matrix_8_1_3_5_12_16_18_19_20,73.05002116,49.16923759,161.6402139,21.016295,21.016295,21.016295,8,73.05002116,49.16923759,161.6402139,0.3653450993255656,0.2459101271406241,0.8084112648366709,0.5575937530909512,21.016295,0.22201600000000005
adjacency_matrix_10_2_3_5_9_12_14_15_16_17_20,67.30546195,80.45951784,161.4694057,21.2952759,21.2952759,21.2952759,10,67.30546195,80.45951784,161.4694057,0.3366148331075422,0.4024022179618205,0.8075570017193758,0.4587062143435147,21.2952759,0.25337600000000005
adjacency_matrix_8_1_3_5_11_14_16_19_20,86.37232553,60.65182248,161.4586656,20.38102578,20.38102578,20.38102578,8,86.37232553,60.65182248,161.4586656,0.4319739453685045,0.3033379834305331,0.8075032872530558,0.4703308373679712,20.38102578,0.22096000000000005
adjacency_matrix_8_1_3_9_11_15_16_18_20,85.18163406,59.36122811,161.2851006,20.3121723,20.3121723,20.3121723,8,85.18163406,59.36122811,161.2851006,0.4260189396550844,0.2968833333043693,0.8066352365508451,0.4784814933168947,20.3121723,0.22168000000000004
adjacency_matrix_8_2_3_9_12_14_16_17_18,49.0359544,75.53561624,161.144603,21.49057433,21.49057433,21.49057433,8,49.0359544,75.53561624,161.144603,0.2452435378704811,0.3777763069688426,0.8059325658491546,0.549765843207286,21.49057433,0.21987200000000004
adjacency_matrix_12_1_2_3_5_6_7_11_12_14_16_17_20,99.081317,97.49140538,161.0195817,20.53074262,20.53074262,20.53074262,12,99.081317,97.49140538,161.0195817,0.4955354293654095,0.487583803760052,0.8053072967726917,0.2949835073333329,20.53074262,0.28614400000000006
adjacency_matrix_7_2_6_7_9_16_17_20,84.83046411,102.9772434,160.9864282,17.81287323,17.81287323,17.81287323,7,84.83046411,102.9772434,160.9864282,0.4242626332471521,0.5150201275895968,0.805141486160208,0.3295232222930371,17.81287323,0.16831200000000002
adjacency_matrix_7_1_2_3_5_11_18_20,102.9772434,84.83046411,160.9864282,17.81287323,17.81287323,17.81287323,7,102.9772434,84.83046411,160.9864282,0.5150201275895968,0.4242626332471521,0.805141486160208,0.3295232222930371,17.81287323,0.16831200000000002
adjacency_matrix_8_1_3_9_14_15_16_18_20,72.10045352,47.80857826,160.9427534,20.70749375,20.70749375,20.70749375,8,72.10045352,47.80857826,160.9427534,0.3605960263171911,0.2391050611026787,0.8049230553659297,0.5645578217256022,20.70749375,0.22166400000000003
adjacency_matrix_10_1_2_3_5_11_14_16_17_18_19,76.36163746,87.86229427,160.8539938,20.48347568,20.48347568,20.48347568,10,76.36163746,87.86229427,160.8539938,0.3819074872186735,0.4394257266091287,0.8044791419438231,0.3997311528147592,20.48347568,0.25444800000000006
adjacency_matrix_12_1_2_3_5_6_7_9_11_12_16_17_20,98.65003994,98.65003994,160.8336793,20.62497856,20.62497856,20.62497856,12,98.65003994,98.65003994,160.8336793,0.493378483236983,0.493378483236983,0.804377543027048,0.2920638785549008,20.62497856,0.28649600000000003
adjacency_matrix_8_2_3_5_11_14_16_18_20,72.52734348,72.52734348,160.5802671,19.8395648,19.8395648,19.8395648,8,72.52734348,72.52734348,160.5802671,0.3627310312406762,0.3627310312406762,0.8031101524923275,0.4621169173695483,19.8395648,0.22275200000000003
adjacency_matrix_5_1_2_3_14_18,63.0230932,63.98904666,160.5361398,16.89056657,16.89056657,16.89056657,5,63.0230932,63.98904666,160.5361398,0.3151974206075422,0.3200284440238751,0.8028894586096228,0.5274943680926112,16.89056657,0.13555200000000003
adjacency_matrix_9_1_2_3_4_5_9_16_17_20,74.78819599,106.9576189,160.5206778,21.55244476,21.55244476,21.55244476,9,74.78819599,106.9576189,160.5206778,0.3740382337809362,0.5349271811305591,0.8028121285029908,0.3625891227448845,21.55244476,0.26996000000000003
adjacency_matrix_10_1_3_5_7_12_14_16_17_18_20,87.54690589,76.49711675,160.4026364,20.5511812,20.5511812,20.5511812,10,87.54690589,76.49711675,160.4026364,0.4378483745811963,0.3825850598446033,0.8022217680031208,0.3985913538546157,20.5511812,0.25444800000000006
